模式	频数
7,6,10,0	119
7,4,6,3,10,2	21
3,8,12	207
7,4,6,3,10,0	26
7,6,10,2	112
11,5,9,0,8,2	35
1,5,9,6,0,2,12	21
1,4,6,10,0	73
7,10,0	235
1,4,6,10,2	66
11,5,9,7,8,12	31
6,3,10,0	129
11,3,0,8,2	68
11,1,7,12	128
9,7,3,10,8,12	16
7,10,2	216
1,4,6,10,8	74
7,10,8	243
11,1,7,10	141
1,5,9,6,10,0,8	16
9,7,4,2,12	57
11,5,4,10,8,2	33
6,3,10,8,12	54
6,3,10,2	108
1,7,3,2,12	62
11,5,7,10,12	66
11,7,3,10,0,12	32
11,7,4,3,8	68
6,3,10,8	122
11,9,0,8,12	58
9,6,3,0,8,2,12	20
11,1,5,7,6,0,8	18
11,1,5,7,6,0,2	19
11,1,8,12	110
9,4,3,8,12	50
1,5,7,0,2	72
11,5,9,6,3,2,12	17
1,9,7,3,10,0	26
11,1,5,3,0,8,2,12	16
1,9,7,3,10,2	18
1,5,7,0,8	61
5,6,8,2	132
1,9,7,3,10,8	20
11,1,7,4,10,2	33
11,7,4,6,8	65
7,4,0,8	119
5,9,4,0,2,12	30
11,10,2,12	123
11,1,7,4,10,0	35
11,7,4,6,2	63
11,5,4,6,10,0,8	22
7,4,0,2	123
11,7,4,6,3	73
11,7,4,6,0	63
11,9,7,6,10,0,8	19
11,5,9,7,6,0,12	18
5,6,3,10,12	57
11,9,10,8,2	56
11,1,7,4,10,8	33
11,1,5,4,6,0	38
11,1,7,4,10,0,2	17
11,1,5,4,6,2	37
11,5,7,3,10,12	29
11,9,7,6,10,0,2	19
11,1,5,4,6,3	41
9,7,4,6,8,2	28
11,1,5,4,6,8	36
5,3,0,2,12	81
11,5,4,0,2,12	42
11,1,7,4,0,2,12	22
11,3,8,2	121
5,9,10,0,12	56
4,3,8,2	127
5,6,3,0,8,2	44
1,3,10,12	115
4,10,0,12	117
1,4,6,3,8,2	40
9,7,6,3,0	60
1,6,10,8,2	61
9,6,3,0,2	70
9,7,6,3,2	64
11,1,4,3,0,8,2	25
11,5,4,10,0,8	39
11,1,5,9,4,0,8	22
5,3,0,8,2,12	41
11,9,4,10,0	71
11,9,3,10,0,8,2	20
9,6,3,0,8	66
11,5,4,10,0,2	35
5,7,6,3,8,2	40
11,9,4,10,2	61
9,7,6,3,8	64
11,6,8,2,12	58
9,0,2,12	121
11,1,5,9,4,0,2	24
5,9,4,10,0,8	27
9,10,0,8	120
1,9,4,6,0,8,2	19
11,9,4,10,8	66
11,1,7,0,8,12	35
9,10,0,2	109
5,9,7,3,10,12	25
11,1,5,6,3,8,2	22
11,5,9,7,2,12	34
5,9,4,10,0,2	25
5,4,3,8,12	57
5,4,6,3,10,0,8	17
11,5,9,7,4,10	31
11,7,4,8,2	58
5,4,6,3,10,0,2	20
11,5,9,7,6,2,12	16
11,1,5,9,4,3,8	20
5,9,3,8,2	61
9,10,0,8,12	58
5,10,8,2,12	58
5,0,2	265
11,9,4,6,3,8,2	21
11,5,9,7,3,12	35
7,4,3,2	123
11,5,9,7,3,10	29
5,7,4,0,12	66
11,10,0,12	133
7,4,3,0	113
5,0,8	229
1,5,9,7,3,2,12	18
11,4,10,8,12	67
11,9,7,4,6,10,0	16
11,7,4,6,8,2	30
1,5,9,7,3,0,12	20
1,7,6,10,0,8	29
11,1,9,4,6,3,0	22
5,3,10,0,8	59
4,10,2,12	114
1,7,6,10,0,2	35
11,9,7,4,6,10,8	17
11,9,7,3,0,2	39
11,1,9,4,6,3,8	24
11,9,7,3,0,8	36
11,1,9,4,6,3,2	21
11,1,5,4,3,0	47
1,5,9,7,10,12	29
5,3,10,0,2	70
11,1,5,4,3,2	49
1,5,7,0,8,2	40
1,5,9,4,6,10,8	20
11,1,5,9,4,3,2	24
1,7,6,0,2,12	33
11,1,5,9,4,3,0	23
11,1,5,4,3,8	38
5,4,6,3,0,2,12	24
11,5,9,7,4,12	36
11,7,4,6,3,0	34
9,7,3,10,2,12	17
9,7,6,0,2	68
11,7,4,6,3,8	42
11,7,4,6,3,2	34
9,7,6,0,8	66
11,1,5,7,6,8,2	23
1,7,3,8,12	48
5,3,10,0,8,12	31
9,3,10,8,2	51
9,10,0,2,12	52
1,5,7,4,6,2,12	19
5,7,10,12	112
7,4,3,8	119
11,10,0,8,2	65
11,1,5,4,6,10,12	18
1,5,7,6,0	64
1,4,6,10,0,12	36
1,5,7,6,2	72
1,5,7,6,3	65
5,7,6,10,0,12	28
5,3,0	270
11,1,4,6,3,10,0	24
10,0	491
5,3,2	259
11,1,4,6,3,10,2	21
10,2	442
1,5,7,6,8	63
1,5,9,6,8,2	35
5,3,8	239
11,1,4,6,3,10,8	27
11,1,5,6,10,0,12	18
10,8	466
5,4,3,0,12	62
3,0,8,2	126
11,1,5,10,8	61
1,7,4,6,10,8	33
9,7,3,10,0,12	26
7,4,6,8	120
11,1,5,10,0	77
11,1,5,10,2	74
11,1,5,4,8,2	42
11,1,9,4,6,0,2	17
11,0	512
5,4,0	252
11,1	516
5,4,3	258
11,2	504
5,4,2	251
11,3	504
11,1,9,4,6,0,8	24
6,8,2,12	118
11,4	515
11,5	510
1,5,4,6,8,12	30
11,6	498
5,4,6	252
11,7	516
11,8	469
5,4,8	247
11,9	528
1,3,8,2,12	66
11,5,4,10,0,2,12	21
11,1,7,10,8,2	30
9,4,10,0	125
11,1,4,8,2,12	39
9,4,10,2	109
9,0,8,12	110
1,4,6,10,2,12	35
1,5,7,8,2	72
5,7,6,10,12	48
1,6,0,8,12	64
11,5,4,6,0,2,12	24
11,9,7,6,0,2,12	21
5,7,6,10,2,12	25
1,7,4,6,10,0	31
5,4,3,2,12	65
7,4,6,3	132
9,4,10,8	120
7,4,6,2	123
11,5,9,7,0,12	40
7,4,6,0	121
1,7,4,6,10,2	32
5,9,4,3,10,2	21
5,9,7,10,0,2	22
5,9,4,3,10,0	29
5,9,4,3,10,8	22
5,6,0	258
5,6,3	258
1,4,6,3,0,8	40
9,6,3,0,2,12	37
1,5,4,6,2,12	42
5,6,2	268
5,9,10,8,12	43
1,5,9,6,3,0	34
5,6,8	242
1,4,6,3,0,2	37
5,9,7,10,0,8	26
1,5,6,0,12	64
5,7,4,6,10	59
1,5,6,3,10,0,12	22
5,7,4,6,12	58
1,5,9,6,3,2	39
4,10,8,12	113
5,9,4,10,12	47
5,7,0	243
5,7,2	255
1,5,9,6,3,8	37
5,7,4	255
5,7,3	251
1,5,4,6,3,12	32
5,7,6	246
5,7,8	249
1,5,4,6,3,10	38
5,9,7,4,0,8,12	18
5,9,7,0,2,12	33
5,7,6,3,10,12	22
1,5,9,4,3,0,12	20
5,0,8,2,12	68
9,6,3,8,2	67
9,10,8,2	106
11,9,7,4,10,0,12	17
7,4,8,2	105
9,7,6,3,2,12	34
11,5,9,10,8	54
11,1,7,4,0,8,12	19
11,1,5,6,10,0	40
11,1,5,6,10,2	34
11,5,9,10,2	62
11,5,9,10,0	68
11,1,5,6,10,8	34
5,8,2	249
11,7,4,6,0,8	30
5,3,10,8,2	54
5,7,3,0,2,12	36
11,1,9,3,10,2,12	16
11,1,5,10,0,2,12	22
1,5,6,2,12	73
5,7,4,8,12	57
9,6,3,10,0,8	29
11,6,3,0,8,2,12	20
1,5,6,3,10,2,12	18
11,7,4,6,0,2	33
5,9,0	237
5,9,2	247
11,3,10,12	126
1,9,3,0,2	73
5,9,4	235
5,9,3	239
5,9,6	236
1,9,3,0,8	68
5,7,6,3,8,2,12	17
11,1,3,0,8	71
5,9,8	222
5,9,7	249
1,9,7,4,8,2,12	16
11,1,3,0,2	72
5,7,6,10,0,8,2	17
1,5,9,4,3,2,12	22
9,6,3,10,0,2	28
1,5,6,3,10	66
1,5,6,3,12	65
9,7,6,8,2	67
5,7,4,3,10	58
5,7,4,3,12	56
11,1,4,6,8,2,12	17
9,7,6,3,8,12	27
11,7,3,0,12	58
11,9,4,0,8,2,12	17
11,9,8,12	102
11,1,5,9,4,6,3	19
11,1,5,9,4,6,0	18
5,7,4,2,12	67
11,9,4,10,8,2	27
11,5,7,4,0,8,12	19
1,5,9,10,0,2,12	17
11,1,9,3,10,0,12	18
5,7,3,0,8,12	25
11,4,6,10,8	73
11,4,6,10,2	65
9,6,10,8,12	55
4,6,0,8,2	65
11,4,6,10,0	72
1,5,10,0	130
11,9,7,4,3,8,2	20
11,9,4,3,10,8,2	18
5,7,3,10,0,8	24
1,5,10,8	117
5,7,3,10,0,2	29
1,5,10,2	124
5,4,6,10,0,2,12	18
5,9,4,3,0,8,2	25
1,5,9,6,0,8	32
9,4,6,10,12	50
1,5,9,6,0,2	38
11,5,9,3,10,2,12	18
11,9,6,12	112
7,4,3,10,0	51
11,1,5,4,0,2	45
11,7,3,2,12	57
11,9,6,10	118
11,1,7,10,0,8	34
11,1,5,9,4,8,2	17
5,9,10,2,12	54
11,1,5,4,0,8	42
7,4,3,10,8	55
7,4,3,10,2	46
1,5,4,6,0,12	35
9,6,3,0,8,12	31
11,1,5,10,0,8,12	20
11,7,6,10,8,12	24
11,1,4,3,10,0	41
11,1,4,3,10,2	43
11,9,4,3,0,8,12	17
11,1,4,3,10,8	43
11,1,7,10,0,2	36
5,3,0,8,12	61
11,9,4,0,8,12	30
11,1,5,9,4,6,8	18
5,9,7,4,0,2,12	17
11,9,7,12	131
11,5,7,0,8	63
6,10,12	228
11,9,7,10	137
5,4,3,10,8,12	27
11,1,9,6,8,12	33
11,1,7,0,2,12	40
5,7,4,3,8,12	26
11,5,7,0,2	68
1,3,0,2	139
11,1,5,9,3,0,12	23
11,6,10,0,8	70
11,1,5,12	124
5,9,4,8,2,12	26
1,3,10,0,2	60
11,1,5,10	138
11,1,10,0,12	74
5,9,7,10,8,2	27
1,3,0,8	132
11,5,4,8,2,12	38
5,6,10,0,8,2	38
1,3,10,0,8,2	34
1,5,6,8,12	57
11,9,3,10,12	59
11,6,10,0,2	67
1,5,9,4,8,12	32
11,5,7,3,0	66
11,1,5,4,6,3,8	24
11,1,5,4,6,3,2	23
11,1,6,12	123
11,1,6,10	140
11,5,9,3,10,0,12	20
1,6,3,10,12	61
11,1,5,4,6,3,0	26
5,9,10,0	109
1,3,10,0,8	69
11,6,0,2,12	70
4,6,3,0,8,2,12	19
11,5,7,10,8,2	34
5,9,10,8	95
1,9,7,0,8,2	36
5,9,10,2	106
11,5,7,4,0	70
11,1,3,8,2	63
1,4,3,2,12	71
1,7,4,10,8,12	27
11,5,7,4,2	69
11,1,5,9,3,2,12	25
11,5,4,3,0,8,2	27
11,1,3,10	132
11,9,7,3,10,12	28
1,9,4,6,3,10,8	20
11,1,10,2,12	63
4,6,10,2	116
4,6,10,0	131
11,9,4,0,2,12	27
11,1,2,12	127
11,4,6,3,10,8,12	16
11,9,7,3,0,8,2	22
11,5,7,3,8	66
4,6,10,8	131
11,7,6,3,0,2,12	16
11,5,7,3,2	68
1,7,4,0,12	62
1,9,10,0,12	63
5,6,3,0,8	65
11,9,4,10,0,2	35
5,7,6,3,8	63
9,6,10,0,8,2	31
1,9,3,8,2	73
11,1,4,12	128
7,3,0,12	106
1,4,3,10,0,2,12	19
5,7,6,3,0	68
5,6,3,0,2	85
11,1,4,10	146
5,7,6,3,2	67
11,9,4,10,0,8	38
1,4,0,8,2,12	40
5,7,0,8,2,12	35
11,3,0,8,2,12	33
5,4,6,3,8,2,12	20
1,9,4,6,3,10,0	17
5,6,3,10,0,8,2	21
1,9,4,6,3,10,2	16
11,1,3,12	120
11,5,7,4,8	67
5,4,6,10,0,8,12	17
1,7,6,8,2,12	29
11,5,7,4,3	68
11,5,7,4,6	59
1,4,3,0,12	64
11,5,7,6,2	70
11,1,5,4,6,0,8	21
5,7,0,2	133
5,4,6,3,0,12	33
1,7,4,3,8,2	32
11,5,7,6,3	65
4,0,12	222
1,5,9,4,3,10	27
11,5,7,6,0	64
9,7,6,3,0,12	29
1,5,9,4,3,12	28
1,4,3,8,12	60
1,5,9,6,0,8,12	18
5,7,6,3,0,2,12	21
11,1,5,4,6,0,2	19
5,7,0,8	117
11,1,0,12	134
11,1,9,6,3,10	30
11,7,3,8,12	57
11,1,9,6,3,12	35
1,4,3,10,8,2	35
5,7,3,10,8,2	22
7,3,2,12	109
1,4,3,10,0,8,12	16
11,5,9,4,6,3,8	17
9,6,10,0,12	54
7,4,6,8,2,12	25
1,7,4,10,0,12	34
11,5,9,4,6,3,0	18
11,7,6,10,2,12	29
11,1,9,6,2,12	31
11,5,9,4,6,3,2	17
11,5,7,6,8	64
11,5,7,0,8,12	33
1,5,9,10,0,8,12	16
11,1,9,6,0,12	35
5,7,6,0,8	53
4,2,12	228
11,5,7,8,2	76
11,6,3,0,8,2	42
1,10,0,8,2	65
5,7,6,0,2	71
6,0,2,12	136
6,10,0,8	126
11,5,7,4,0,2,12	23
1,7,6,10,12	50
6,10,0,2	131
9,3,10,12	103
1,5,9,3,8,2,12	23
1,7,3,0,8,2	34
7,4,8,2,12	52
4,3,10	243
7,4,10,8,2,12	24
4,3,12	226
1,5,9,4,6,10	33
9,10,8,2,12	52
5,9,7,4,10,2	23
1,5,9,4,6,12	27
1,3,0,2,12	73
11,5,7,4,10,0,8	16
5,9,7,4,10,0	31
1,9,4,6,8,12	33
5,9,7,4,10,8	30
5,9,7,0,8,12	29
11,5,7,4,10,8	36
9,6,10,2,12	55
1,7,4,10,2,12	33
11,7,6,10,0,12	32
11,7,6,3,8,2	41
11,5,4,6,8,2,12	19
11,6,0,8,12	61
11,5,7,4,10,2	31
11,9,7,6,8,2,12	17
11,5,7,4,10,0	34
5,7,4,8	123
5,7,4,6	125
11,1,10,8,12	58
5,9,10,8,2	45
1,10,2,12	116
5,7,4,3	128
11,5,4,3,0,8	38
5,7,4,2	132
11,1,9,3,10,8	33
1,5,9,6,3,10	23
11,1,5,9,3,8,12	19
5,7,4,6,8	56
11,3,8,2,12	56
11,1,7,4,3,10,12	16
11,5,4,3,0,2	47
5,7,4,6,0	69
11,1,4,3,10,12	34
5,9,4,10,8	50
5,7,4,6,2	68
5,9,4,3,10,12	23
11,5,9,4,6,0,8	16
11,1,5,9,7,10,8	16
11,6,10,8,2	64
5,7,4,6,3	62
11,1,4,10,12	68
1,5,9,6,3,12	32
5,9,4,10,2	47
9,7,4,6,0,12	33
5,9,4,10,0	57
11,1,5,9,7,10,2	17
1,5,7,6,3,2,12	17
11,1,5,9,7,10,0	18
11,9,7,6,0,8,2	25
11,4,3,2	144
1,5,9,4,3,0,8	20
11,4,3,0	135
5,7,3,2	127
5,4,10,8,12	59
5,7,3,0	131
1,5,9,4,3,0,2	26
1,4,6,3,0,12	36
11,4,3,8	135
5,9,0,8,12	52
5,9,7,3,8,2	36
5,7,3,8	125
9,6,0,2,12	67
1,5,6,0,2	78
5,9,7,10,0,12	29
11,1,9,6,3,2,12	20
1,5,6,3,10,0,2	22
5,7,4,0	132
1,3,8,2	127
1,5,6,0,8	63
1,10,0,12	129
11,1,9,3,10,2	31
4,6,10	250
4,6,12	232
11,1,9,3,10,0	36
11,4,0,2	130
11,3,10,0,8,12	34
1,7,6,3,0,2	38
5,7,6,8	116
5,7,6,3	124
1,7,6,3,0,8	37
11,4,0,8	123
1,5,6,3,10,0,8	22
5,7,4,8,2	66
1,5,9,6,3,0,2,12	17
1,4,10,0,8,12	36
11,1,5,7,3,0,2,12	16
11,1,4,6,0,8,12	19
11,1,5,3,10,2,12	22
7,3,8,12	102
11,1,4,3,8,2,12	24
11,10,8,2,12	53
11,5,7,6,10,2	27
11,1,9,6,3,0,12	20
11,1,5,6,10,12	31
11,5,7,6,10,8	29
1,4,10,0,8,2,12	21
5,9,7,10,2,12	26
5,7,6,2	134
5,7,6,0	126
5,6,8,2,12	65
11,5,7,6,10,0	31
4,8,12	218
11,7,4,6,0,12	36
11,1,5,4,2,12	46
6,0,8,12	116
11,1,5,9,7,0,2,12	16
11,9,4,10,8,12	27
9,7,3,2,12	58
11,1,4,6,0,2,12	16
11,9,10,0,8,2,12	17
7,4,6,8,12	54
1,7,10,8,12	51
11,9,7,10,0,8,12	18
1,5,4,8,12	66
1,4,6,3,8,2,12	21
1,7,4,6,3,2,12	16
11,9,6,8,2,12	28
11,1,5,4,3,10	41
11,1,5,4,3,12	33
11,1,5,3,10,0,12	23
9,4,6,10,8	66
1,9,4,8,2,12	32
11,9,7,4,8,2	32
11,1,4,6,10,0,8	26
5,7,3,10,0,12	29
11,1,5,4,6,8,2	20
5,4,3,8,2	70
11,1,4,6,10,0,2	19
1,5,9,6,0,12	30
9,4,6,10,0	63
5,7,8,2	139
9,6,10,8,2	58
9,4,6,10,2	56
11,1,7,10,2,12	34
11,1,5,4,0,12	39
1,10,8,12	110
11,1,4,10,8,2,12	17
11,6,10,8	127
1,5,6,3,0,2,12	28
11,1,7,3,8,2	31
11,6,10,0	128
11,1,9,7,6,0,12	18
5,7,3,10,2,12	19
11,6,10,2	123
9,7,3,0,12	57
1,7,4,6,3,0,12	16
9,7,4,6,2,12	34
6,10,8,2	116
5,3,0,8,2	76
5,6,3,8,2,12	41
5,4,10,2,12	57
11,9,7,4,6,2	35
1,5,7,6,3,0,12	19
1,4,10,12	120
11,9,7,4,6,0	38
9,7,4,6,3,10	27
9,7,4,6,3,12	28
11,9,7,4,6,3	37
11,5,4,6,3,10,8	20
1,4,6,3,2,12	36
5,7,4,3,2	65
11,9,7,4,6,8	36
5,7,4,3,8	61
3,8,2,12	111
5,7,4,3,0	70
1,5,9,6,2,12	34
11,1,7,10,0,12	42
1,9,7,10,8,2	29
11,5,4,6,3,10,2	17
11,5,4,6,3,10,0	23
11,9,7,4,3,2	36
11,9,7,4,3,0	36
11,5,6,0,12	66
11,9,7,4,3,8	35
1,7,3,10,8,2	21
6,0,2	266
7,4,10,0,2,12	27
1,7,6,3,0,8,2	21
6,0,8	236
11,9,3,0,8,2	39
11,6,3,10,8,2	32
11,5,7,10,8,12	30
11,4,6,3,10,8,2	19
11,6,0,8,2,12	33
1,9,7,0,8,12	35
1,5,6,8,2	71
9,6,0,8,2,12	34
1,9,7,4,10,0	32
1,9,7,4,10,2	27
5,9,7,10,8,12	24
1,9,7,4,10,8	34
1,7,0,8,2,12	36
1,6,3,10,0	67
1,9,10,0,2	58
1,7,10,0,8,2	34
1,6,3,10,2	60
5,7,4,6,3,0,12	17
11,9,4,3,8,2	39
11,9,3,0,2	75
1,9,10,0,8	65
1,6,3,10,8	72
11,5,6,2,12	69
11,9,4,10,2,12	25
1,9,0,2,12	68
11,6,10,0,8,2	38
11,4,8,2	121
9,3,8,2,12	55
11,5,3,10,0,8,2	23
11,4,6,3,0,8,12	17
1,4,3,0,8	69
11,1,9,6,3,8,12	20
1,4,3,0,2	77
1,7,4,0,2	64
11,4,6,0,8,2,12	17
1,4,3,10,8,2,12	19
11,5,6,3,10	63
11,4,3,0,12	62
11,5,6,3,12	60
6,3,0	247
1,7,4,0,8	62
6,3,2	261
9,6,3,10,8,2	25
1,4,10,0,12	65
6,3,8	254
11,9,3,0,8	68
11,4,6,8	129
11,1,6,10,8	69
11,9,6,3,10,8	29
11,4,6,3	137
11,4,6,2	130
11,1,6,10,0	75
9,6,0,8,12	61
5,9,6,0,8,2	32
11,7,6,3,8,12	30
11,1,6,10,2	65
11,9,7,4,3,0,8	20
1,5,6,3,0	75
11,9,4,10,0,12	29
1,5,6,3,2	79
11,1,7,6,0,8,2	17
11,5,6,0,8,2	41
9,6,10,0,8,12	30
5,7,3,10,8,12	16
1,5,6,3,8	73
1,4,3,10,8,12	29
5,10,0,8,2	62
11,4,6,0	128
11,9,6,3,10,2	28
11,1,5,3,10,8,12	18
11,9,6,3,10,0	27
11,5,9,6,3,8,2	19
11,9,7,4,0,2	40
1,7,4,3,8,12	23
11,9,7,4,0,8	39
11,4,3,2,12	68
11,1,4,6,10,8,2	19
11,9,7,4,3,0,2	22
11,9,4,3,10,0,2	18
11,9,4,3,10,0,8	21
1,5,9,6,0,8,2	19
1,5,7,8,2,12	36
10,8,2,12	105
9,6,10,0,2	60
11,5,7,4,8,2,12	18
11,1,9,7,6,8,12	17
5,9,7,4,3,10,0	17
9,6,10,0,8	65
1,7,3,0,8,12	28
11,5,7,4,10,12	36
1,7,3,0,8,2,12	16
11,1,7,3,0,2	35
4,3,10,0,8,2	33
11,1,7,3,0,8	30
1,9,4,3,10,0	30
1,9,4,3,10,2	31
11,9,7,10,0,2,12	16
11,7,6,10,12	63
1,7,6,10,0	62
1,9,4,3,10,8	33
1,7,6,10,2	64
1,9,7,10,0,2	27
5,9,4,6,0,8,2	16
1,7,6,10,8	61
5,7,10,8,2,12	27
9,7,3,8,12	50
1,9,7,10,0,8	31
5,9,7,4,10,12	25
1,9,7,0,2,12	37
5,6,0,12	122
11,6,3,0,8,12	33
7,6,3,10,2,12	20
11,5,9,8,2,12	28
11,6,3,10,12	59
11,1,4,10,8,2	34
11,9,10,0,12	65
1,7,3,10,0,8	29
5,6,0,2,12	80
11,6,3,0,2,12	36
11,5,9,7,6,8,2	22
1,5,9,7,4,2	31
5,6,3,10	126
5,6,10,0,8	66
1,5,9,7,4,3	29
9,3,0,8	121
1,5,9,7,4,6	34
1,7,3,10,0,2	28
6,8,2	243
1,5,9,7,4,8	30
1,7,3,0,2,12	36
1,9,0,8,12	65
11,5,6,8,12	54
4,3,0,12	111
11,3,0,2,12	68
5,6,3,12	124
11,7,10,0,8,12	32
11,6,3,10,0,8	36
1,3,0,8,2	72
11,6,3,10,0,2	31
1,9,4,10,2	58
1,9,4,10,0	66
11,5,7,10,0,12	36
11,9,7,6,10,8	30
11,1,5,7,6,3,10	19
11,5,4,6,0,8,2	22
11,3,10,0,8	74
5,9,4,10,8,2	19
1,7,4,6,0	59
1,9,4,10,8	66
1,7,4,6,2	64
5,3,10,8,2,12	27
1,5,9,7,4,8,2	16
1,7,4,6,3	66
1,7,4,6,8	63
11,1,7,4,3,0,2	22
11,7,6,3,2,12	31
11,1,4,0,8	73
1,5,9,7,6,0	28
1,9,6,3,10,2,12	17
9,3,0,2	132
11,5,7,3,8,2	41
5,6,2,12	140
1,5,9,7,6,2	34
11,9,7,6,10,0	31
11,1,9,7,8,12	33
11,1,5,6,3,0,12	22
11,9,7,6,10,2	31
10	966
11	1010
11,1,4,0,2	72
11,3,10,0,2	66
12	925
1,6,8,2,12	61
11,9,10,2,12	59
11,1,9,0,8,2	40
11,1,4,3,10,0,8	24
11,10,8,12	113
11,1,4,3,10,0,2	24
1,9,10,8,2	56
4,3,2,12	122
1,5,9,7,6,3	27
11,9,4,3,0,2	38
7,4,6,3,0,8,2	18
11,9,3,8,2	68
1,5,9,7,6,8	36
9,6,10,0,2,12	27
11,7,4,0,12	69
5,7,10,0,8,12	26
1,5,4,0,8,2	44
7,4,10,0,8,12	28
11,1,5,6,3,2,12	20
11,5,7,10,2,12	32
1,7,6,3,10,12	18
11,1,4,3,0	77
1,7,4,8,2	57
1,5,7,4,6,0,12	16
11,1,4,0,8,12	41
5,9,3,10,12	53
11,1,4,3,0,2,12	23
5,6,10,0,2	69
11,9,4,3,0,8	39
1,4,10,8,12	60
1,6,10,0	133
1,5,9,7,8,2	36
1,4,3,8,2	78
11,1,9,7,6,12	30
11,4,3,8,12	64
1,6,10,8	131
11,1,9,7,6,10	29
1,6,10,2	127
1,5,9,7,0,8	29
1,5,9,7,0,2	30
5,7,4,6,0,2	37
11,7,4,2,12	62
1,5,9,3,0,8,2	23
5,7,3,0,12	59
11,5,4,10,0,8,12	19
11,1,4,3,2	81
11,5,9,6,3,0,2	18
11,5,9,7,6,3,2	17
5,7,4,6,0,8	30
11,1,4,3,8	78
11,1,5,7,6,0,12	19
11,5,9,7,6,3,8	20
9,3,10,0,2	55
9,10,0,8,2	55
7,6,10,12	105
9,3,10,0,8	58
5,10,0,8,2,12	33
1,4,3,10,0,12	32
11,4,10,12	135
1,9,7,4,0,8,2	21
1,5,7,3,10,8	24
1,7,4,3,0,12	29
11,7,4,3,12	64
11,7,4,3,10	73
5,7,6,10,8,12	17
7,10,12	230
1,5,7,3,10,0	35
1,4,10,2,12	67
5,7,6,3,0,8,2	20
1,5,7,3,10,2	33
1,4,0,2	132
11,1,4,6,3	75
11,5,7,4,3,10,8	17
1,5,9,6,8,2,12	17
11,1,4,6,2	61
9,10,0,12	121
11,1,4,6,0	69
6,3,10,12	113
1,4,0,8	131
1,7,4,3,0	59
11,5,7,4,3,10,0	20
1,7,4,3,2	70
11,5,7,4,3,10,2	16
1,4,3,10,2,12	35
1,7,4,3,8	60
1,5,7,10,12	55
5,9,4,0,8,12	30
11,3,0,8,12	61
11,9,4,10,12	60
11,1,5,7,6,2,12	17
1,5,9,7,3,8	32
5,7,3,2,12	60
11,3,10,0,8,2,12	16
1,5,9,7,3,0	33
3,10,0,8	119
3,0,2,12	128
